Rider,	Split1,	Split2,	Split3,	Split4,	Speed,	Lap,	Time,	
25,	12038,	43542,	42094,	47494,	135,	225168,	93707520,	
25,	5365,	39444,	39680,	44122,	227.4,	208611,	93916131,	
25,	5275,	34585,	38743,	39207,	231.3,	157810,	94113941,	
25,	5241,	34225,	35657,	48765,	231.8,	203888,	94317829,	
25,	5174,	31856,	31983,	42097,	233.8,	151110,	94508939,	
25,	5179,	31485,	31046,	37786,	233.3,	145496,	94654435,	
25,	5163,	38392,	33434,	46282,	234.3,	203271,	94857706,	
25,	5166,	31094,	30771,	37440,	234.8,	144471,	95042177,	
25,	5167,	31015,	30794,	37427,	233.8,	144403,	95226580,	
25,	5149,	30898,	30700,	37469,	234.3,	144216,	95410796,	
26,	12138,	41246,	37204,	40927,	158.8,	211515,	93852642,	
26,	6083,	34098,	34697,	39763,	203.4,	154641,	94047283,	
26,	6430,	32867,	34194,	42139,	201.5,	155630,	94242913,	
26,	5145,	30709,	30335,	36873,	235.8,	143062,	94425975,	
26,	5154,	30247,	30251,	36903,	234.3,	142555,	94608530,	
26,	5241,	33677,	31743,	38415,	225.9,	149076,	94757606,	
26,	5146,	30445,	30089,	36918,	236.8,	142598,	94940204,	
26,	5073,	34147,	33132,	38419,	231.8,	150771,	95130975,	
26,	5117,	30496,	29872,	37043,	236.8,	142528,	95313503,	
27,	14485,	48314,	41216,	43981,	106.1,	227996,	93649579,	
27,	5401,	36173,	36532,	39652,	227.4,	157758,	93847337,	
27,	5304,	34169,	34586,	37671,	231.3,	151730,	94039067,	
27,	5125,	31026,	30522,	37198,	236.3,	143871,	94222938,	
27,	5154,	31517,	32309,	40615,	235.3,	149595,	94412533,	
27,	5145,	30422,	30296,	36896,	234.8,	142759,	94555292,	
27,	5131,	31540,	33594,	41158,	235.8,	151423,	94746715,	
27,	5176,	30807,	31676,	41676,	233.8,	149335,	94936050,	
27,	5151,	30568,	30316,	37021,	234.8,	143056,	95119106,	
27,	5132,	30527,	33103,	43850,	235.3,	152612,	95311718,	
30,	12692,	42657,	39054,	42192,	136.5,	216595,	93908136,	
30,	5464,	35367,	34653,	38956,	223.6,	154440,	94102576,	
30,	5279,	33597,	37202,	52386,	229.3,	208464,	94311040,	
30,	5147,	30708,	29855,	37056,	235.8,	142766,	94453806,	
30,	5049,	34435,	36555,	46450,	238.4,	202489,	94656295,	
30,	5176,	31771,	31988,	37990,	233.8,	146925,	94843220,	
30,	5158,	30267,	29944,	36890,	234.8,	142259,	95025479,	
30,	5132,	33265,	34388,	39886,	235.8,	152671,	95218150,	
30,	5120,	30330,	29929,	36920,	236.8,	142299,	95400449,	
33,	11653,	42183,	38761,	43390,	150.6,	215987,	94036698,	
33,	5411,	37286,	35412,	41404,	227.4,	159513,	94236211,	
33,	5303,	34535,	37352,	43027,	229.3,	200217,	94436428,	
33,	5164,	31180,	30536,	37180,	234.8,	144060,	94620488,	
33,	5152,	30718,	30439,	37058,	235.8,	143367,	94803855,	
33,	5129,	33871,	36000,	41112,	236.8,	156112,	94959967,	
33,	5131,	30820,	30467,	37183,	235.8,	143601,	95143568,	
33,	5151,	30597,	30232,	37200,	234.3,	143180,	95326748,	
35,	11975,	43973,	42542,	42215,	123,	220705,	93844812,	
35,	5936,	39094,	38021,	47555,	193.2,	210606,	94055418,	
35,	5493,	35628,	38353,	44461,	223.6,	203935,	94259353,	
35,	5119,	30842,	30348,	36752,	235.8,	143061,	94442414,	
35,	5123,	30573,	30233,	36798,	236.3,	142727,	94625141,	
35,	5104,	35875,	39277,	41545,	237.4,	201801,	94826942,	
35,	5112,	30514,	30224,	36979,	236.8,	142829,	95009771,	
35,	5108,	33186,	40315,	39257,	237.4,	157866,	95207637,	
35,	5058,	30641,	30253,	36787,	238.4,	142739,	95350376,	
41,	11331,	42410,	41416,	44780,	149.6,	219937,	93651962,	
41,	5464,	35526,	37523,	41138,	226.9,	159651,	93851613,	
41,	5302,	34549,	33731,	40844,	232.3,	154426,	94046039,	
41,	5126,	31569,	33015,	38895,	236.3,	148605,	94234644,	
41,	5144,	31232,	31113,	37247,	234.8,	144736,	94419380,	
41,	5164,	33770,	34821,	41195,	233.3,	154950,	94614330,	
41,	5151,	30957,	31086,	37320,	234.3,	144514,	94758844,	
